Equipment,Description,Location,Longitude,Latitude,Total_Points,Anomaly_Points,Anomaly_Pct,Num_Events,First_Anomaly_Time,Last_Anomaly_Time,Z_Points,ISO_Points,DTW_Points,Peak_RZ,Max_DTW_Dist,Mean_Value,Median_Value,Plot_Path
Dissolved Oxygen,PulauTekong-Dissolved-Oxygen,,104.0533,1.40396,16482,210,1.27,33,2025-11-18 21:17:37,2025-11-21 10:19:48,32,3,0,18.31728387096724,,5.206106249241597,5.322,output_plots/20251121_1243/Dissolved Oxygen_PulauTekong-Dissolved-Oxygen.png
Flowrate,MRRS-THOMSON FLOWMETER READING,,103.835708,1.342351,2498,55,2.2,8,2025-11-18 15:39:15,2025-11-21 05:38:00,3,7,2,29.37512134175067,0.12206099999999998,0.14133334027221775,0.001302,output_plots/20251121_1243/Flowrate_MRRS-THOMSON FLOWMETER READING.png
Voltage,PandanTG-LT-Voltage1,,103.747233,1.31214,2119,34,1.6,5,2025-11-18 18:05:07,2025-11-21 05:42:00,5,6,0,61.58492307691985,,414.6735252477584,414.8,output_plots/20251121_1243/Voltage_PandanTG-LT-Voltage1.png
Voltage,PandanTG-LT-Voltage2,,103.747233,1.31214,2114,27,1.28,4,2025-11-19 02:41:44,2025-11-21 05:42:00,4,5,0,109.71239999999607,,416.75316934720905,416.9,output_plots/20251121_1243/Voltage_PandanTG-LT-Voltage2.png
Voltage,PandanTG-LT-Voltage3,,103.747233,1.31214,2118,27,1.27,4,2025-11-19 02:41:44,2025-11-21 05:42:00,3,5,0,101.5581000000057,,417.40779036827195,417.6,output_plots/20251121_1243/Voltage_PandanTG-LT-Voltage3.png
Pressure,BedokPS-Pump4-Deliver-Pressure,,103.91977,1.342859,2175,15,0.69,2,2025-11-19 13:53:51,2025-11-19 19:57:42,6,15,4,84.72723205286941,0.4254410000000001,0.11897780643678157,0.003418,output_plots/20251121_1243/Pressure_BedokPS-Pump4-Deliver-Pressure.png
Flowrate,Bidadari North WetLand Submersible Pump 2 Flow,,103.873432,1.338205413,2870,13,0.45,2,2025-11-18 18:58:46,2025-11-20 06:59:08,3,10,1,306.8982,233.0,206.8332880010453,208.0,output_plots/20251121_1243/Flowrate_Bidadari North WetLand Submersible Pump 2 Flow.png
Pressure,Kranji2PS-Mains-Delivery-PRESSURE,,103.744413,1.424832,2095,8,0.38,1,2025-11-18 15:45:59,2025-11-18 15:46:45,7,7,2,106.52428374491998,0.18555699999999975,3.8975694582338902,3.896112,output_plots/20251121_1243/Pressure_Kranji2PS-Mains-Delivery-PRESSURE.png
Flowrate,Kranji1PS-Total-Flow-Rate,,103.728707,1.415669,2083,6,0.29,1,2025-11-21 10:48:00,2025-11-21 10:58:00,2,6,1,56.56438668618917,70.54799600000001,166.46822107345173,166.79599,output_plots/20251121_1243/Flowrate_Kranji1PS-Total-Flow-Rate.png
Flowrate,BedokPond4-PS-Delivery-Flow-Rate,,103.934426,1.316971,2447,6,0.25,1,2025-11-19 09:46:11,2025-11-19 09:46:20,6,5,2,14.071918965517265,0.7464,0.5214625255414794,0.0,output_plots/20251121_1243/Flowrate_BedokPond4-PS-Delivery-Flow-Rate.png
