HkeyDateTime,Status
20250526020011,Event
320250526020315,Alarm
320250526020619,Alarm
320250526021000,Alarm
20250526021138,Alarm
20250526021225,Alarm
420250526021443,Failed
20250526021601,Open
120250526021753,Stopped
320250526022134,Normal
320250526022317,Alarm
320250526022420,Alarm
20250526022731,Open
20250526022928,Open
20250526023045,Open
20250526023134,Open
20250526023704,Open
20250526024408,Stopped
20250526024719,Close
20250526024805,Open
220250526024911,Running
20250526025035,Close
20250526025220,Close
20250526025643,Stopped
320250526020106,Normal
320250526020316,Normal
20250526020901,Running
320250526021034,Normal
20250526021146,Alarm
320250526021333,Alarm
20250526021518,Close
320250526021710,Alarm
20250526021853,Normal
20250526022150,Close
320250526022318,Normal
20250526022502,Stopped
20250526022815,Close
20250526022928,Close
320250526023050,Alarm
20250526023308,Open
20250526023754,Running
20250526024622,Open
20250526024719,Close
20250526024806,Close
20250526024931,Open
20250526025108,Event
320250526025348,Alarm
20250526025747,Open
420250526020132,Normal
20250526020602,Stopped
320250526020914,Alarm
20250526021109,Normal
20250526021158,Alarm
120250526021433,Running
20250526021547,Close
320250526021723,Normal
320250526021945,Normal
20250526022150,Close
20250526022318,Close
20250526022549,Event
20250526022928,Close
20250526022929,Close
320250526023103,Normal
320250526023433,Alarm
320250526024325,Normal
20250526024719,Open
20250526024719,Close
20250526024851,Close
20250526025004,Normal
220250526025129,Stopped
320250526025349,Normal
320250526020106,Alarm
320250526020315,Alarm
320250526020633,Normal
320250526021000,Alarm
20250526021143,Normal
20250526021238,Normal
20250526021443,Failed
20250526021601,Close
20250526021848,Event
320250526022134,Normal
320250526022317,Alarm
120250526022423,Running
20250526022731,Close
20250526022928,Close
20250526023045,Close
20250526023134,Close
20250526023704,Close
320250526024410,Alarm
20250526024719,MidTravel
20250526024805,Close
20250526024916,Open
20250526025036,Open
20250526025256,Open
20250526025644,Event
320250526020106,Alarm
320250526020316,Normal
320250526020633,Normal
320250526021034,Normal
20250526021144,Normal
20250526021303,Event
20250526021518,Open
320250526021710,Alarm
20250526021849,Stopped
20250526022150,Open
320250526022318,Normal
20250526022436,Normal
20250526022815,Open
20250526022928,Open
320250526023050,Alarm
20250526023135,Normal
20250526023723,Normal
20250526024412,Normal
20250526024719,Open
20250526024805,Open
20250526024916,Close
20250526025036,Close
20250526025256,Close
20250526025648,Normal
20250526020214,Close
320250526020619,Alarm
320250526020927,Normal
20250526021130,Normal
20250526021219,Running
320250526021436,Normal
20250526021547,Normal
320250526021743,Alarm
320250526022018,Alarm
320250526022200,Closed
320250526022420,Alarm
320250526022652,Normal
20250526022928,Close
20250526022930,Close
20250526023131,Stopped
120250526023455,Stopped
20250526024407,Event
20250526024719,Open
20250526024720,Close
20250526024854,Close
20250526025035,Open
20250526025220,Open
320250526025511,Alarm
320250526020106,Normal
20250526020601,Event
320250526020914,Alarm
20250526021034,Stopped
20250526021153,Normal
320250526021333,Alarm
20250526021547,Open
320250526021723,Normal
320250526021945,Normal
20250526022150,Open
20250526022318,Open
20250526022509,Running
20250526022928,Open
20250526022929,Open
320250526023103,Normal
20250526023308,Close
20250526023831,Event
20250526024622,Close
20250526024719,Open
20250526024849,Open
20250526024931,Close
220250526025129,Event
320250526025349,Normal
20250526025747,Close
20250526020214,Open
20250526020606,Normal
320250526020927,Normal
20250526021113,Alarm
20250526021203,Normal
320250526021436,Normal
420250526021547,Normal
320250526021743,Alarm
320250526022018,Alarm
420250526022153,Closed
20250526022333,Running
320250526022652,Normal
20250526022928,Open
20250526022930,Open
20250526023131,Event
320250526023433,Alarm
320250526024325,Normal
20250526024719,Close
20250526024720,Open
20250526024854,Open
20250526025033,Running
20250526025220,MidTravel
320250526025511,Alarm
20250526030312,Running
120250526030707,Running
20250526031021,Open
20250526031034,Open
20250526031039,Open
20250526031040,Open
20250526031124,Open
20250526031127,Open
20250526031147,Close
20250526031158,Open
20250526031213,Open
20250526031222,Open
20250526031224,MidTravel
20250526031224,Close
20250526031225,Close
20250526031232,Close
20250526031233,Close
20250526031238,Close
20250526031244,MidTravel
20250526031256,Open
20250526031301,Open
20250526031302,Open
20250526031352,Open
20250526031401,Close
20250526031402,Close
20250526031545,Running
20250526031826,Open
20250526031901,Open
20250526032019,Open
120250526032119,Running
320250526032315,Normal
20250526032513,Open
20250526032707,Open
320250526032737,Normal
320250526032837,Normal
320250526033149,Normal
20250526033201,Open
20250526033204,Open
20250526033205,Open
20250526033205,Open
20250526033207,Open
20250526033236,Close
