IPAddress,RowId,Description,Tagname,RTUNumber,RawType,Location,Hkey,Signaltype,Equipment
438464,16796741,LowerSeletarPS-HR-KWH-GEN-C,S707-HR-KWH-GEN-C,707,1,LowerSeletarPS,43846416796741,Analog,Others
420288,16796743,UpperSeletarPS-HR-OPT-PUMP2-FV-C,S423-HR-OPT-PUMP2-FV-C,423,1,UpperSeletarPS,42028816796743,Analog,Others
420288,16826544,UpperSeletarPS-HR-OPT-GV-FV-C,S423-HR-OPT-GV-FV-C,423,1,UpperSeletarPS,42028816826544,Analog,Others
420160,16826750,Pandan1PS-AIN-C2-P1,S421-AIN-C2-P1,421,1,Pandan1PS,42016016826750,Analog,Others
420160,16826751,Pandan1PS-AIN-C2-P2,S421-AIN-C2-P2,421,1,Pandan1PS,42016016826751,Analog,Others
420160,16826752,Pandan1PS-AIN-C2-P3,S421-AIN-C2-P3,421,1,Pandan1PS,42016016826752,Analog,Others
420160,16826753,Pandan1PS-AIN-C2-P4,S421-AIN-C2-P4,421,1,Pandan1PS,42016016826753,Analog,Others
420160,16826754,Pandan1PS-AIN-C2-P5,S421-AIN-C2-P5,421,1,Pandan1PS,42016016826754,Analog,Others
420160,16826758,Pandan1PS-RTL-Sensor,S421-RTL-Sensor,421,1,Pandan1PS,42016016826758,Analog,Others
420160,16826759,Pandan1PS-Main-Pressure,S421-Main-Pressure,421,1,Pandan1PS,42016016826759,Analog,Pressure
420160,16826760,Pandan1PS-Main-Flow-Rate,S421-Main-Flow-Rate,421,1,Pandan1PS,42016016826760,Analog,Flowrate
420160,16826761,Pandan1PS-AIN-C2-P12,S421-AIN-C2-P12,421,1,Pandan1PS,42016016826761,Analog,Others
420160,16826762,Pandan1PS-MCC1-Online-Temp,S421-MCC1-Online-Temp,421,1,Pandan1PS,42016016826762,Analog,Temperature
420160,16826763,Pandan1PS-MCC1-Busbar-Coupler-Temp,S421-MCC1-Busbar-Coupler-Temp,421,1,Pandan1PS,42016016826763,Analog,Temperature
420160,16826764,Pandan1PS-AIN-C2-P15,S421-AIN-C2-P15,421,1,Pandan1PS,42016016826764,Analog,Others
420160,16826765,Pandan1PS-MCC2-Online-Temp,S421-MCC2-Online-Temp,421,1,Pandan1PS,42016016826765,Analog,Temperature
420160,16826766,Pandan1PS-MCC2-Busbar-Coupler-Temp,S421-MCC2-Busbar-Coupler-Temp,421,1,Pandan1PS,42016016826766,Analog,Temperature
420160,16826767,Pandan1PS-Q1A-Temp,S421-Q1A-Temp,421,1,Pandan1PS,42016016826767,Analog,Temperature
420160,16826768,Pandan1PS-Q2A-Temp,S421-Q2A-Temp,421,1,Pandan1PS,42016016826768,Analog,Temperature
420160,16826769,Pandan1PS-LCP1-Pump-Vibration,S421-LCP1-Pump-Vibration,421,1,Pandan1PS,42016016826769,Analog,Others
420160,16826770,Pandan1PS-LCP1-Motor-DE-Vibration,S421-LCP1-Motor-DE-Vibration,421,1,Pandan1PS,42016016826770,Analog,Others
420160,16826771,Pandan1PS-LCP1-Motor-NDE-Vibration,S421-LCP1-Motor-NDE-Vibration,421,1,Pandan1PS,42016016826771,Analog,Others
